Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
48099,BOURGS SUR COLAGNE,0,91618,138446
48105,NAUSSAC-FONTANES,0,14803,0
48116,PONT DE MONTVERT - SUD MONT LOZERE,0,70671,57874
48126,LACHAMP-RIBENNES,0,24015,0
48127,MONTS-DE-RANDON,3271,82698,49182
48139,SAINT BONNET-LAVAL,0,27154,17127
48146,GORGES DU TARN CAUSSES,0,85188,69022
48152,VENTALON EN CEVENNES,0,46018,28680
48166,CANS  ET CEVENNES,0,28666,0
49003,TUFFALUN,75935,66617,132908
49018,BAUGE-EN-ANJOU,78090,301977,140541
49021,BEAUFORT EN ANJOU,188128,165891,510610
49023,BEAUPREAU-EN-MAUGES,106502,453052,325751
49029,BLAISON-SAINT-SULPICE,48204,39576,0
49050,BRISSAC LOIRE AUBANCE,20989,286878,199170
49060,BELLEVIGNE-LES-CHÂTEAUX,0,58852,0
49067,CHENILLE-CHAMPTEUSSE,0,8220,0
49069,OREE-D'ANJOU,275133,386830,304227
49080,LES HAUTS-D'ANJOU,259349,205567,335049
49086,TERRANJOU,138159,112588,271381
49092,CHEMILLE-EN-ANJOU,19681,476455,257874
49125,DOUE-EN-ANJOU,164704,282625,468953
49138,LES BOIS D'ANJOU,108424,86292,232191
49160,INGRANDES-LE FRESNE SUR LOIRE,51937,46605,0
49163,JARZE-VILLAGES,0,74974,180341
49167,LES GARENNES SUR LOIRE,126204,99534,0
49174,HUILLÉ-LÉZIGNÉ,0,31312,0
49176,LE-LION-D'ANGERS,138166,103649,271608
49183,VAL-D'ERDRE-AUXENCE,173999,145029,273328
49194,MAZE-MILON,177594,141381,414667
49200,LONGUENEE-EN-ANJOU,164702,137870,0
49218,MONTREVAULT-SUR-EVRE,77874,360472,145878
49220,MORANNES-SUR-SARTHE-DAUMERAY,0,94371,147665
49228,NOYANT-VILLAGES,240646,182964,289946
49244,MAUGES-SUR-LOIRE,126386,399240,497852
49248,OMBRÉE D'ANJOU,312111,232036,394752
49261,GENNES VAL DE LOIRE,157446,217278,157094
49292,VAL-DU-LAYON,95557,87167,236171
49298,SAINT-LÉGER-DE-LINIÈRES,0,58882,0
49301,SEVREMOINE,372950,520474,405269
49307,LOIRE-AUTHION,51571,333842,0
49323,VERRIERES-EN-ANJOU,0,129233,0
49331,SEGRÉ-EN-ANJOU-BLEU,0,384619,388655
49345,BELLEVIGNE-EN-LAYON,214525,181195,175451
49367,ERDRE-EN -ANJOU,207582,167901,236640
49373,LYS-HAUT LAYON,277590,244097,313360
49377,RIVES-DU-LOIR-EN-ANJOU,0,109945,132358
50025,AVRANCHES,127992,133308,371366
50082,BRICQUEBEC-EN-COTENTIN,170674,150690,309768
50090,BUAIS-LES-MONTS,21359,19633,55941
50095,CANISY,52746,45750,93351
50099,CARENTAN-LES-MARAIS,156558,184119,331939
50115,LE GRIPPON,10838,12179,0
50129,CHERBOURG-EN-COTENTIN,60996,180418,0
50139,CONDE SUR VIRE,0,66753,117451
50142,VICQ-SUR-MER,42858,38400,0
50168,DUCEY-LES CHERIS,0,44819,111713
50197,GAVRAY-SUR-SIENNE,0,43751,84992
50209,GONNEVILLE-LE THEIL,51596,45597,104743
50215,GOUVILLE-SUR-MER,68489,68871,183066
50236,LA HAYE,136027,112207,157346
50239,THEREVAL,53949,46361,51798
50260,JUVIGNY LES VALLEES,82561,62529,67176
50267,LESSAY,6411,53717,119830
50273,MONTSENELLE,47970,40674,104851
50292,MARIGNY-LE-LOZON,71514,55560,169328
50359,MORTAIN-BOCAGE,97968,70718,157519
50363,MOYON VILLAGES,41107,34924,62191
50388,ORVAL SUR SIENNE,35542,32176,0
50391,GRANDPARIGNY,73785,63517,147821
50393,PERCY-EN-NORMANDIE,73232,66481,199744
50400,PICAUVILLE,111589,94430,212597
50409,PONT-HEBERT,47398,38220,83152
50410,PONTORSON,126976,109479,289311
50412,PORT-BAIL-SUR-MER,0,64896,116911
50417,QUETTEHOU,0,33028,91741
50419,QUETTREVILLE-SUR-SIENNE,75351,76289,137686
50431,REMILLY LES MARAIS,38880,31833,0
50436,ROMAGNY-FONTENAY,0,37632,70190
50444,SAINT-AMAND-VILLAGES,0,50993,108244
50484,SAINT-HILAIRE-DU-HARCOUET,86257,109402,258648
50487,SAINT-JAMES,167208,124294,221610
50492,SAINT-JEAN-D'ELLE,73277,60716,120321
50523,SAINTE-MERE-EGLISE,69163,65161,138126
50535,LE PARC,31729,27637,0
50546,BOURGVALLEES,88059,80166,153273
50550,SAINT-SAUVEUR-VILLAGES,93381,81370,109715
50564,TERRE-ET-MARAIS,40931,35240,0
50565,SARTILLY-BAIE-BOCAGE,91412,71653,161827
50582,SOURDEVAL,86770,78914,246966
50591,LE TEILLEUL,40107,60392,137551
50592,TESSY-BOCAGE,19522,46071,83281
50597,TIREPIED-SUR-SEE,31154,23609,0
50601,TORIGNY-LES-VILLES,111863,82907,213074
50639,VILLEDIEU-LES-POELES-ROUFFIGNY,6412,63579,248264
51030,AY-CHAMPAGNE,0,90706,186075
51075,BOURGOGNE-FRESNE,0,28465,54463
51171,CORMICY,33924,41048,0
51564,VAL DE LIVRE,0,13270,0
51612,BLANCS-COTEAUX,6849,46195,76821
52064,BOURMONT-ENTRE-MEUSE-ET-MOUZON,0,23919,49909
52140,COLOMBEY-LES-DEUX-EGLISES,0,16639,41433
52187,EPIZON,0,4823,0
52331,LA PORTE DU DER,58323,54771,217076
52405,LE MONTSAUGEONNAIS,38105,33277,120317
52411,RIVES DERVOISES,42664,39988,135263
52449,SAINTS-GEOSMES,0,7630,0
52529,VILLEGUSIEN-LE-LAC,30813,26998,85466
53017,VAL DU MAINE,6768,18553,0
53029,BIERNÉ-LES-VILLAGES,0,33193,48279
53062,CHÂTEAU-GONTIER-SUR-MAYENNE,0,65526,557792
53097,EVRON,162566,138883,356018
53104,GENNES-LONGUEFUYE,0,33845,71148
53124,PRÉE D'ANJOU,0,35719,0
53136,LA ROCHE-NEUVILLE,0,28204,0
53137,LOIRON-RUILLE,80262,66927,158827
53161,MONTSÛRS,0,60318,149253
53185,PRE-EN-PAIL-SAINT-SAMSON,0,81471,167420
